Organization,Country,Website,Email Contacted,Date Emailed,Email Sent,Response Received,Follow-up Sent,Acceptance,Notes
Mosiac Center,"Texas, USA",https://www.mosaiccenter.org/,"Dear Mosaic Center Team,

I hope this message finds you well. My name is Lysandre, and on behalf of a group of students at The American School in Japan (ASIJ) in Tokyo, I would like to express our deep admiration for the work of The Mosaic Center.

We have been inspired by your faith‑based mission to “Educate, Elevate, and Activate women” by guiding them toward economic self‑sufficiency through programs such as the 12‑week Job & Life Skills Core Program, GED and ESL coursework, resume writing, mock interviews, budgeting and parenting training, all offered in a nurturing Christian environment that embodies “a hand up, not a handout”.

We were particularly impressed by your 20-year legacy of transforming lives, now approaching your 40th graduating class, and the testimonials highlighting how your graduates have gained confidence and employment success as a direct result of the center’s programs.

Over the past several weeks, our student group has been studying models of community empowerment and women’s economic development. We believe that Japan, while culturally different, faces many comparable challenges around empowering women who are striving for stability and independence. With that in mind, we are exploring the possibility of adapting elements of The Mosaic Center’s Core Program for women in Japan, in partnership with local community centers, schools, or faith-based organizations.

We would be honored to learn more about your journey, program structure, and lessons learned in establishing and sustaining your work. Specifically, we would be interested in discussing: Curriculum structure--how you organize operations like your two annual 12-week cohorts, key modules like Jobs for Life, life skills, parenting, budgeting, and certification prep. Along with insights on your: Volunteer and mentoring model--how you recruit, train, and engage your volunteer base and staff. Finally, to know your adaptation strategy--what advice you might offer for adapting your Core Program model to a different cultural context, such as Japan, where the language, systems, and social norms differ.

While we are still in the planning and research phase, our hope is that this initial outreach could open the door to a cross‑cultural exchange or pilot collaboration. We would be grateful for any guidance, resources, or even brief conversations you are able to offer.

Thank you for taking the time to read this message and for your inspiring example of community service that reaches globally. We truly believe that empowering women through education, faith, and practical skills is a universal mission.

If possible, we would love the opportunity for a short virtual conversation at your convenience. Please let us know if there is a staff member or volunteer whom you recommend we contact.

Thank you again, and may The Mosaic Center continue to impact many more lives.

Warm regards,

Lysandre Sotne-Bourgeois
The American School in Japan (ASIJ)
Tokyo, Japan
lysandrestonebourgeois@gmail.com",25/07/2025,TRUE,FALSE,FALSE,waiting,Most likely not compatible since they are focused on christianity and based on woman
Greater Waukegan Development Coalition,USA,https://greaterwaukegan.org/,"Dear Greater Waukegan Development Coalition Team,

I hope you are well. My name is Lysandre, and I am writing on behalf of a group of students at The American School in Japan (ASIJ) in Tokyo. We have been deeply inspired by the mission and success of the Greater Waukegan Development Coalition (GWDC) in fostering holistic community and economic development in Greater Waukegan, Illinois.

Your comprehensive approach to support entrepreneurship, transform real estate development, increase access to capital, and create community-centered programming demonstrates a clear and effective strategy for revitalizing a metropolitan area facing socioeconomic challenges. We were particularly impressed by your flagship ""Lake County Tech Hub"", which provides mentorship, training, and resources to aspiring entrepreneurs and small business owners; GWDC Invests, facilitating access to funding; and SelectChicago, which promotes foreign direct investment to grow the local economy in collaboration with diverse stakeholders.

We note that GWDC operates with a dedicated team of about 11–50 staff members, and maintains an active presence with approximately 1,000 LinkedIn followers. Your organizational scale allows you to deliver impactful programs, including the Community Contracting Project, Hub Studios, and multicultural festivals, that engage residents and strengthen local capacity.

At ASIJ, our student group has been exploring scalable community development models that empower individuals and local economies. We believe that Japan, while economically advanced, still faces challenges in connecting underserved neighborhoods to entrepreneurship resources, community programming, and revitalizing civic engagement. Inspired by GWDC’s approach, we are interested in adapting elements of your model--such as entrepreneurial mentorship, community festivals, and inclusive real estate or contracting initiative--to the Japanese world.

We would be honored to learn more about your journey, program execution, and key lessons. Specifically, we are interested in discussing: program design and impact--how GWDC integrates initiatives like the Tech Hub, SelectChicago, and community contracting to create synergy across programs. As well as community engagement strategy--how you build trust and participation in multicultural and economically diverse communities through events (such as Lake County Fiestas) and local contracting projects. Finally, adaptation advice, what guidance you might offer in forming a pilot program in Japan that reflects the collaborative, multi-stakeholder model you’ve developed.

While we are still in the exploratory phase, we hope that this outreach may lead to mentorship opportunities, virtual exchanges, or resource-sharing collaborations. Your work’s focus on systemic change through integrated development deeply resonates with our goals.

If possible, we would greatly appreciate any guidance you can share or the opportunity for a brief virtual meeting or call at your convenience. Please feel free to direct us to a staff member or volunteer with whom we might connect.

Thank you very much for your time and for the impactful work you are doing in Waukegan. We believe that replicating your community-strengthening models in new contexts can foster inclusive development across borders.

Warm regards,

Lysandre Stone-Bourgeois
The American School in Japan (ASIJ)
Tokyo, Japan
Email: lysandrestonebourgeois@gmail.com",26/07/2025,TRUE,FALSE,FALSE,waiting,Most likely not compatible since it is community-specific and deep on technology and investment
YoungMinds,UK,https://www.youngminds.org.uk/,"My name is Lysandre, and I’m a student leader at the American School in Japan (ASIJ), where we’ve been deeply inspired by YoungMinds’ mission to ensure all young people get the mental health support they need, when they need it, no matter what.

Although based in the UK, your work resonates strongly with students like us around the world. In Japan, conversations about youth mental health are still emerging, and access to youth-centered support remains limited. We believe YoungMinds’ approach, such as combining practical resources, youth advocacy, and national awareness campaigns, could make a real and meaningful difference here.

As students, we are committed to creating a culture where mental health is openly discussed and supported. We’re reaching out to explore the possibility of a collaboration to extend your impact to Japan, through student-led initiatives modeled after your incredible work. We’d love to pilot awareness efforts similar to #HelloYellow, translate/adapt some of your youth-facing resources, and engage with other international schools to spark a regional movement for change.

We admire your work in mobilizing young voices, especially through campaigns like Beyond Tomorrow, and we would be honored to work with YoungMinds to help bring your mission and message to students here in Japan.

Would someone from your partnerships or outreach team be open to a conversation with us? We’d love to share more about our student group and how we might support your vision on an international scale.

Thank you for all you’re doing to create a world where no young person feels alone with their mental health, which was previously unimaginable. We hope to join you in that mission from across the globe.

Warm regards,
Lysandre Stone-Bourgeois
The American School in Japan
lysandrestonebourgeois@gmail.com",27/07/2025,TRUE,FALSE,FALSE,waiting,Compatible but would probably keep at a small scale.
International Medical corps,USA,https://internationalmedicalcorps.org/,"My name is Jackson, and I’m a high school student in Japan with a strong passion for global humanitarian work. I’m reaching out to propose starting and leading a student-run Japan chapter of International Medical Corps. My team and I have the goal of growing awareness and support across multiple cities and regions.
 I believe this could expand your visibility in Asia, engage Japanese youth in global relief efforts, and create a new network of long-term supporters. If this aligns with your mission, I’d love to connect briefly and share more about the vision. Thank you for the life-saving work you do.
Warm regards,Jackson BomongcagAmerican School in Japan27bomongcagj@asij.ac.jp",27/07/2025,TRUE,FALSE,FALSE,waiting,
MedAire,USA,https://www.medair.org/,"My name is Jackson, and I’m a high school student in Japan passionate about global emergency response and aviation safety. I’ve been inspired by MedAire’s work supporting in-flight medical emergencies, remote travel assistance, and crew health. These services have saved lives and set the standard for travel risk management.

Japan has a strong international travel culture. However, awareness of aviation and medical preparedness remains limited among young people. I’d love to lead a student-run MedAire chapter that educates and engages youth across Japan, inspired by your work and built on your mission.



Would someone from your team be open to a brief conversation? I’d be excited to share ideas and collaborate to grow your global impact from here in Japan.
",27/07/2025,TRUE,FALSE,FALSE,waiting,
Mercy Ships,Australia,mercyships.org.au,"Mercy Ships team,

My name is Jackson, and I’m a high school student in Japan inspired by Mercy Ships’ mission to deliver free surgical care and medical training to underserved communities. Your work transforming lives through hospital ships has deeply moved me.



Although based in Australia, your impact resonates strongly with students like us around the world. In Japan, there is growing interest in global health equity and medical volunteering; however, there are few youth-led opportunities to take action. I’d love to lead a student-run Mercy Ships chapter across Japan to raise awareness, support your mission, and engage other young people in your cause.



Would someone from your team be open to a brief conversation? I’d be honored to share more about how we can help extend your message and impact here in Japan.",27/07/2025,TRUE,TRUE,FALSE,Talking,
Project hope,USA,https://www.projecthope.org/contact/,"Hi Project HOPE Team,

My name is Jackson, and I’m a high school student in Japan deeply inspired by Project HOPE’s mission to expand access to medical care and health education globally. Your work responding to crises—from disaster relief to long-term health system strengthening—is incredibly impactful.

Although based in the U.S., your work resonates strongly with students like us around the world. In Japan, there is growing student interest in global health, yet limited ways for youth to get involved meaningfully. I’d love to start a student-led Project HOPE chapter that raises awareness, supports fundraising efforts, and engages students across Japan in your mission.

Would someone from your team be open to a short conversation? I’d be grateful to share ideas and explore how we might support your global impact from Japan.",27/07/2025,TRUE,FALSE,FALSE,waiting,
Reach for Uganda,"VA, USA",https://reachforuganda.org/contactus/,"Good evening, Reach for Uganda Team,

My name is Jackson, and I’m a high school student in Japan. I am truly inspired by your work that empowers communities through education, health care, and development in Uganda. Your long-term commitment to student sponsorships, teacher training, and health initiatives is incredibly impactful.

Your work resonates strongly with students like us around the world. In Japan, awareness of global development is growing, and I’d love to start a student-led chapter of Reach for Uganda that promotes your mission, raises awareness, and engages students across Japan in meaningful support.

Would someone from your team be open to a brief conversation? I’d love to share ideas on how we can help extend your impact from Japan.

",28/07/2025,TRUE,TRUE,TRUE,Partnered,
Womens global education project,USA,https://www.womensglobal.org/contact,"Hi WGEP Team,My name is Jackson, and I’m a high school student in Japan deeply inspired by your mission to empower girls through education and support gender equality in underserved communities. Your work in Senegal and Kenya, making a difference through mentorship, scholarship, and community engagement, has had an incredible impact.Your work resonates strongly with students like us around the world. In Japan, there’s growing awareness of gender equity issues globally, and I’d love to start a student-led WGEP chapter here to raise awareness, fundraise, and engage youth in your mission across schools and cities.Would someone from your team be open to a brief conversation? I’d be honored to share how we can help support WGEP’s impact from Japan.",28/07/2025,TRUE,TRUE,TRUE,Partnered,
Forest trends,USA,https://www.forest-trends.org/contact-us/,"Hi Forest Trends Team,

My name is Jackson, and I’m a high school student in Japan inspired by your work advancing nature-based solutions through forest conservation, sustainable supply chains, and ecosystem services. Your efforts to align global markets with environmental protection are both innovative and essential.

Your work resonates strongly with students like us around the world. In Japan, interest in climate action and conservation is growing, and I’d love to start a student-led Forest Trends chapter to promote your mission, engage youth, and build awareness across the country.

Would someone from your team be open to a short conversation? I’d love to share ideas on how we can help increase your impact from Japan.
",28/07/2025,TRUE,FALSE,FALSE,waiting,
